Carimbo de data/hora,Qual curso você está frequentando?,Qual é a sua faixa etária?,Você está satisfeito com a qualidade dos materiais didáticos fornecidos?,"Com que frequência você utiliza recursos digitais (plataformas online, aplicativos, etc.) para auxiliar seus estudos?","Como você avalia a infraestrutura tecnológica da instituição (internet, salas de aula equipadas, etc.)?","Você tem acesso a serviços de suporte acadêmico (tutoria, orientação vocacional, etc.) quando necessário?",Você se sente integrado à comunidade acadêmica da faculdade?,Você recomendaria a sua graduação para outras pessoas?,"Em sua opinião, qual seria a principal área de melhoria que a instituição poderia focar para aprimorar a experiência acadêmica dos alunos?"
16/04/2024 22:56:36,gti,18-24 anos,Sim,Semanalmente,Bom,Às vezes,Não me sinto integrado,Provavelmente sim,convivio social
16/04/2024 23:04:05,ADS,35-44 anos,Não,Nunca,Péssimo,Não,Não me sinto integrado,Não recomendaria,Todas
16/04/2024 23:05:51,ADS,45-54 anos,Sim,Mensalmente,Excelente,Sim,Muito integrado,"Sim, com certeza",Refeitórios
16/04/2024 23:07:52,gti,25-34 anos,Parcialmente,Raramente,Regular,Sim,Neutro,Provavelmente sim,Gerenciamento
16/04/2024 23:09:05,ADS,Menos de 18 anos,Sim,Semanalmente,Excelente,Às vezes,Pouco integrado,Provavelmente não,Refeitórios
16/04/2024 23:14:30,Gastronomia,55 anos ou mais,Sim,Semanalmente,Excelente,Sim,Muito integrado,"Sim, com certeza",Cozinha
16/04/2024 23:17:06,Gastronomia,Menos de 18 anos,Parcialmente,Semanalmente,Regular,Não,Pouco integrado,Provavelmente sim,Refeitórios
16/04/2024 23:43:03,ADS,55 anos ou mais,Não,Raramente,Excelente,Sim,Neutro,"Sim, com certeza",Banheiros
16/04/2024 23:44:57,gti,25-34 anos,Parcialmente,Diariamente,Regular,Às vezes,Muito integrado,"Sim, com certeza",Banheiros
16/04/2024 23:46:12,Gastronomia,Menos de 18 anos,Parcialmente,Raramente,Regular,Às vezes,Pouco integrado,Não tenho certeza,cozinhas
17/04/2024 04:56:34,Direito,35-44 anos,Não,Diariamente,Excelente,Sim,Neutro,Não tenho certeza,Banheiros
17/04/2024 04:57:18,Direito,Menos de 18 anos,Não,Mensalmente,Regular,Não,Não me sinto integrado,Não recomendaria,A cozinha
17/04/2024 04:58:09,Contabilidade,Menos de 18 anos,Sim,Diariamente,Excelente,Sim,Integrado,Não tenho certeza,Nada
17/04/2024 04:58:54,Medicina,18-24 anos,Parcialmente,Semanalmente,Regular,Às vezes,Neutro,Provavelmente não,A infraestrutua
17/04/2024 04:59:39,Pedagogia,35-44 anos,Sim,Semanalmente,Excelente,Sim,Integrado,Provavelmente sim,
17/04/2024 05:00:17,Direito,Menos de 18 anos,Não,Mensalmente,Excelente,Às vezes,Muito integrado,"Sim, com certeza",
17/04/2024 05:00:43,Medicina,55 anos ou mais,Não,Diariamente,Péssimo,Não,Não me sinto integrado,Não recomendaria,
17/04/2024 05:02:00,Psicologia,Menos de 18 anos,Sim,Diariamente,Excelente,Sim,Muito integrado,"Sim, com certeza",
17/04/2024 05:03:13,ADM,25-34 anos,Sim,Diariamente,Ruim,Não,Pouco integrado,"Sim, com certeza",
17/04/2024 05:03:47,ADS,55 anos ou mais,Não,Raramente,Regular,Sim,Muito integrado,"Sim, com certeza",
